from,to,capacity,travel_time,attributes_json_layer,attributes_json_capacity,attributes_json_travel_time,attributes_json_status,layer_Road Network,layer_Telecom Network,layer_Water Network
POWER_001,WATER_016,40,1,Energy Grid,40,1,active,False,False,False
POWER_001,HOSP_001,80,1,Energy Grid,80,1,active,False,False,False
POWER_001,WATER_025,47,1,Energy Grid,47,1,active,False,False,False
POWER_001,WATER_017,67,1,Energy Grid,67,1,active,False,False,False
POWER_001,MAG_018,105,1,Energy Grid,105,1,active,False,False,False
POWER_001,HOSP_008,87,1,Energy Grid,87,1,active,False,False,False
POWER_001,DATA_009,106,1,Energy Grid,106,1,active,False,False,False
POWER_001,WATER_026,48,1,Energy Grid,48,1,active,False,False,False
POWER_001,WATER_029,51,1,Energy Grid,51,1,active,False,False,False
POWER_001,HOSP_007,115,1,Energy Grid,115,1,active,False,False,False
POWER_001,MAG_009,119,1,Energy Grid,119,1,active,False,False,False
POWER_001,MAG_012,75,1,Energy Grid,75,1,active,False,False,False
POWER_001,DATA_017,46,1,Energy Grid,46,1,active,False,False,False
POWER_001,MAG_004,117,1,Energy Grid,117,1,active,False,False,False
POWER_001,WATER_006,110,1,Energy Grid,110,1,active,False,False,False
POWER_001,MAG_020,41,1,Energy Grid,41,1,active,False,False,False
POWER_001,HOSP_002,110,1,Energy Grid,110,1,active,False,False,False
POWER_001,WATER_001,81,1,Energy Grid,81,1,active,False,False,False
POWER_001,WATER_019,110,1,Energy Grid,110,1,active,False,False,False
POWER_001,MAG_022,86,1,Energy Grid,86,1,active,False,False,False
POWER_001,MAG_015,106,1,Energy Grid,106,1,active,False,False,False
POWER_001,MAG_021,63,1,Energy Grid,63,1,active,False,False,False
POWER_001,WATER_007,64,1,Energy Grid,64,1,active,False,False,False
POWER_001,WATER_005,102,1,Energy Grid,102,1,active,False,False,False
POWER_002,HOSP_004,63,1,Energy Grid,63,1,active,False,False,False
POWER_002,WATER_015,98,1,Energy Grid,98,1,active,False,False,False
POWER_002,MAG_006,56,1,Energy Grid,56,1,active,False,False,False
POWER_002,DATA_017,64,1,Energy Grid,64,1,active,False,False,False
POWER_002,WATER_029,44,1,Energy Grid,44,1,active,False,False,False
POWER_002,MAG_012,113,1,Energy Grid,113,1,active,False,False,False
POWER_002,MAG_019,93,1,Energy Grid,93,1,active,False,False,False
POWER_002,MAG_009,58,1,Energy Grid,58,1,active,False,False,False
POWER_002,DATA_008,112,1,Energy Grid,112,1,active,False,False,False
POWER_002,WATER_017,116,1,Energy Grid,116,1,active,False,False,False
POWER_002,WATER_012,65,1,Energy Grid,65,1,active,False,False,False
POWER_002,MAG_001,71,1,Energy Grid,71,1,active,False,False,False
POWER_002,WATER_006,94,1,Energy Grid,94,1,active,False,False,False
POWER_002,MAG_002,86,1,Energy Grid,86,1,active,False,False,False
POWER_002,DATA_016,86,1,Energy Grid,86,1,active,False,False,False
POWER_002,MAG_016,91,1,Energy Grid,91,1,active,False,False,False
POWER_002,DATA_014,118,1,Energy Grid,118,1,active,False,False,False
POWER_002,WATER_019,66,1,Energy Grid,66,1,active,False,False,False
POWER_002,MAG_017,63,1,Energy Grid,63,1,active,False,False,False
POWER_002,MAG_005,45,1,Energy Grid,45,1,active,False,False,False
POWER_003,WATER_007,115,1,Energy Grid,115,1,active,False,False,False
POWER_003,MAG_006,117,1,Energy Grid,117,1,active,False,False,False
POWER_003,WATER_001,90,1,Energy Grid,90,1,active,False,False,False
POWER_003,WATER_009,50,1,Energy Grid,50,1,active,False,False,False
POWER_003,DATA_006,73,1,Energy Grid,73,1,active,False,False,False
POWER_003,MAG_022,59,1,Energy Grid,59,1,active,False,False,False
POWER_003,WATER_025,103,1,Energy Grid,103,1,active,False,False,False
POWER_003,MAG_013,41,1,Energy Grid,41,1,active,False,False,False
POWER_003,WATER_024,100,1,Energy Grid,100,1,active,False,False,False
POWER_003,DATA_004,102,1,Energy Grid,102,1,active,False,False,False
POWER_003,MAG_003,71,1,Energy Grid,71,1,active,False,False,False
POWER_003,HOSP_009,108,1,Energy Grid,108,1,active,False,False,False
POWER_003,MAG_019,75,1,Energy Grid,75,1,active,False,False,False
POWER_003,HOSP_001,46,1,Energy Grid,46,1,active,False,False,False
POWER_003,DATA_013,73,1,Energy Grid,73,1,active,False,False,False
POWER_003,HOSP_002,50,1,Energy Grid,50,1,active,False,False,False
POWER_003,DATA_014,112,1,Energy Grid,112,1,active,False,False,False
POWER_003,WATER_004,78,1,Energy Grid,78,1,active,False,False,False
POWER_003,MAG_007,52,1,Energy Grid,52,1,active,False,False,False
POWER_003,DATA_008,110,1,Energy Grid,110,1,active,False,False,False
POWER_003,WATER_014,40,1,Energy Grid,40,1,active,False,False,False
