id,priority,requires_water,requires_electricity,requires_basic_resources,produces_electricity,produces_water,produces_data,produces_basic_resources,resources_water,resources_electricity,resources_data,resources_basic_resources,type_Hospital,type_Magazine,type_PowerPlant,type_WaterPlant,status_offline
POWER_001,2,2.0,0.0,0.0,17.0,0.0,0.0,0.0,105.0,0,0.0,0.0,False,False,True,False,False
POWER_002,2,4.0,0.0,0.0,31.0,0.0,0.0,0.0,55.0,0,0.0,0.0,False,False,True,False,False
POWER_003,2,5.0,0.0,0.0,51.0,0.0,0.0,0.0,64.0,0,0.0,0.0,False,False,True,False,False
POWER_004,2,4.0,0.0,0.0,42.0,0.0,0.0,0.0,81.0,0,0.0,0.0,False,False,True,False,False
POWER_005,2,2.0,0.0,0.0,37.0,0.0,0.0,0.0,93.0,0,0.0,0.0,False,False,True,False,False
POWER_006,2,3.0,0.0,0.0,41.0,0.0,0.0,0.0,130.0,0,0.0,0.0,False,False,True,False,False
POWER_007,2,9.0,0.0,0.0,19.0,0.0,0.0,0.0,88.0,0,0.0,0.0,False,False,True,False,False
POWER_008,2,10.0,0.0,0.0,51.0,0.0,0.0,0.0,84.0,0,0.0,0.0,False,False,True,False,False
POWER_009,2,9.0,0.0,0.0,38.0,0.0,0.0,0.0,36.0,0,0.0,0.0,False,False,True,False,False
POWER_010,2,9.0,0.0,0.0,22.0,0.0,0.0,0.0,96.0,0,0.0,0.0,False,False,True,False,False
POWER_011,2,10.0,0.0,0.0,35.0,0.0,0.0,0.0,109.0,0,0.0,0.0,False,False,True,False,False
POWER_012,2,3.0,0.0,0.0,58.0,0.0,0.0,0.0,124.0,0,0.0,0.0,False,False,True,False,False
POWER_013,2,3.0,0.0,0.0,27.0,0.0,0.0,0.0,82.0,0,0.0,0.0,False,False,True,False,False
POWER_014,2,10.0,0.0,0.0,59.0,0.0,0.0,0.0,71.0,0,0.0,0.0,False,False,True,False,False
POWER_015,2,8.0,0.0,0.0,24.0,0.0,0.0,0.0,62.0,0,0.0,0.0,False,False,True,False,False
POWER_016,2,4.0,0.0,0.0,52.0,0.0,0.0,0.0,106.0,0,0.0,0.0,False,False,True,False,False
POWER_017,2,6.0,0.0,0.0,19.0,0.0,0.0,0.0,35.0,0,0.0,0.0,False,False,True,False,False
POWER_018,2,5.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0,0.0,0.0,False,False,True,False,False
WATER_001,2,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,37,0.0,0.0,False,False,False,True,False
WATER_002,2,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,22,0.0,0.0,False,False,False,True,False
WATER_003,2,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,10,0.0,0.0,False,False,False,True,False
WATER_004,2,0.0,9.0,0.0,0.0,14.0,0.0,0.0,0.0,37,0.0,0.0,False,False,False,True,False
WATER_005,2,0.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,24,0.0,0.0,False,False,False,True,False
WATER_006,2,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,16,0.0,0.0,False,False,False,True,False
WATER_007,2,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,24,0.0,0.0,False,False,False,True,False
WATER_008,2,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,24,0.0,0.0,False,False,False,True,False
WATER_009,2,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,10,0.0,0.0,False,False,False,True,False
WATER_010,2,0.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,39,0.0,0.0,False,False,False,True,False
WATER_011,2,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,38,0.0,0.0,False,False,False,True,False
WATER_012,2,0.0,8.0,0.0,0.0,24.0,0.0,0.0,0.0,26,0.0,0.0,False,False,False,True,False
WATER_013,2,0.0,5.0,0.0,0.0,25.0,0.0,0.0,0.0,3,0.0,0.0,False,False,False,True,False
WATER_014,2,0.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,18,0.0,0.0,False,False,False,True,False
WATER_015,2,0.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,19,0.0,0.0,False,False,False,True,True
WATER_016,2,0.0,6.0,0.0,0.0,23.0,0.0,0.0,0.0,35,0.0,0.0,False,False,False,True,True
WATER_017,2,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,1,0.0,0.0,False,False,False,True,False
WATER_018,2,0.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,2,0.0,0.0,False,False,False,True,False
WATER_019,2,0.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,31,0.0,0.0,False,False,False,True,True
WATER_020,2,0.0,10.0,0.0,0.0,12.0,0.0,0.0,0.0,34,0.0,0.0,False,False,False,True,False
WATER_021,2,0.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,29,0.0,0.0,False,False,False,True,False
WATER_022,2,0.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,26,0.0,0.0,False,False,False,True,False
WATER_023,2,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,21,0.0,0.0,False,False,False,True,False
WATER_024,2,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,16,0.0,0.0,False,False,False,True,False
WATER_025,2,0.0,9.0,0.0,0.0,23.0,0.0,0.0,0.0,22,0.0,0.0,False,False,False,True,False
WATER_026,2,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,10,0.0,0.0,False,False,False,True,False
WATER_027,2,0.0,4.0,0.0,0.0,22.0,0.0,0.0,0.0,19,0.0,0.0,False,False,False,True,False
WATER_028,2,0.0,5.0,0.0,0.0,25.0,0.0,0.0,0.0,0,0.0,0.0,False,False,False,True,False
WATER_029,2,0.0,7.0,0.0,0.0,21.0,0.0,0.0,0.0,40,0.0,0.0,False,False,False,True,False
WATER_030,2,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,31,0.0,0.0,False,False,False,True,True
DATA_001,1,5.0,8.0,0.0,0.0,0.0,28.0,0.0,5.0,6,0.0,0.0,False,False,False,False,False
DATA_002,1,2.0,9.0,0.0,0.0,0.0,41.0,0.0,7.0,11,0.0,0.0,False,False,False,False,False
DATA_003,1,4.0,10.0,0.0,0.0,0.0,39.0,0.0,7.0,6,0.0,0.0,False,False,False,False,False
DATA_004,1,5.0,8.0,0.0,0.0,0.0,21.0,0.0,5.0,11,0.0,0.0,False,False,False,False,False
